destination,original,global_rank,domestic_rank,reach_rank
http://selfie.co.id/shopping,shope.co.id,4960146,-,4106685
http://1.mw,1.mw,-,-,-
https://ya.no/,ya.no,281654,1410,328820
http://mall-baby.com,mall-baby.com,2358836,-,2194556
https://www.instagram.com/sundaycutezz,www.instagram.com/sundaycutezz,23,19,21
http://www.bajube.com,www.bajube.com,16376970,-,15033647
http://www.icopybot.com,www.icopybot.com,154483,-,128198
http://www.coconut-flavour.com/coconutbattery/,www.coconut-flavour.com,371560,-,288431
http://www.axpro.com.tw,www.axpro.com.tw,4751795,-,5801829
http://s1216.photobucket.com,s1216.photobucket.com,573,447,592
http://www.reebok.com,www.reebok.com,14002,4430,15433
http://www.cryptobase.co.uk,www.cryptobase.co.uk,8185767,-,7060629
https://www.dropbox.com/s/mmwuqsq0pazddr3/BONUS UPDATE.rar?dl=0,bit.ly/ebook18,90,52,80
http://www.unnestronik.tk,www.unnestronik.tk,-,-,-
http://danmogot.com,danmogot.com,156380,3665,206323
http://jagoanprinter.com,jagoanprinter.com,485983,9969,480728
http://www.lexoir.com,www.lexoir.com,3735146,-,3978934
https://www.bukalapak.com/hammock_indo,www.bukalapak.com/hammock_indo,387,14,659
https://nikimura.com/,nikimura.com,3826815,58273,4138970
http://www.m.city/,m.city,6789907,-,5776283
http://kak.no,kak.no,-,-,-
http://www.mikron123.com/,mikron123.com,2880682,-,2783899
http://www.wildcowboy.com,www.wildcowboy.com,1937508,532648,1854142
https://rhaniens01.4jovem.com/,rhaniens01.4jovem.com,230778,4035,224434
https://rhaniens02.4jovem.com/,rhaniens02.4jovem.com,230778,4035,224434
https://www.4jovem.com/,www.4jovem.com,230778,4035,224434
http://www.inaweraflavours.com/en/,www.inaweraflavours.com,638102,-,754721
http://www.moniker.com,puas.org,48875,-,55612
http://acepswd.blogspot.co.id,acepswd.blogspot.co.id,11120439,-,9738653
http://mango.cloud,mango.cloud,-,-,-
http://kadoultahunik.com,kadoultahunik.com,4890879,73278,4760170
http://1999.co.jp,1999.co.jp,7742,998,9637
